Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
GMDCLTD,411.0,597787.71,411.62,13:03:39
GMRAIRPORT,88.88,14800246.0,88.92,12:57:38
GNFC,561.15,247843.5,560.73,12:57:38
GODFRYPHLP,8910.0,213662.67,8929.2,12:57:38
GODIGIT,337.85,95601.33,337.55,12:51:49
GODREJAGRO,788.2,106378.0,791.03,13:03:39
GODREJCP,1176.8,256167.0,1177.78,13:03:39
GODREJIND,1161.1,196836.33,1155.42,13:03:39
GODREJPROP,2272.6,302455.0,2275.12,13:03:39
GPIL,184.11,642604.09,184.85,13:03:39
GPPL,159.07,716455.83,159.18,13:03:39
GRANULES,494.0,270925.55,493.45,13:03:39
GRAPHITE,567.1,355542.55,567.11,13:03:39
GRASIM,2832.3,169912.73,2832.17,13:03:42
GRAVITA,1855.4,65371.75,1856.34,13:03:42
GRSE,2953.7,398620.75,2959.19,13:03:42
GSPL,338.25,1257165.86,338.53,13:03:42
GUJGASLTD,498.65,903517.0,498.68,13:03:42
GVT&D,2345.9,92855.5,2342.42,12:57:42
HAL,4944.4,783936.67,4941.61,12:57:42
HAPPSTMNDS,644.0,138289.67,643.8,12:51:53
HAVELLS,1582.0,616018.0,1585.67,13:03:42
HBLENGINE,637.5,2497781.8,637.93,13:03:42
HCLTECH,1720.4,851561.0,1721.81,13:03:42
HDFCAMC,5071.5,188803.2,5079.09,13:03:42
HDFCBANK,1999.9,3293994.89,1999.57,13:03:42
HDFCLIFE,783.05,1963936.56,783.35,13:03:42
HEG,505.9,170247.82,504.9,13:03:42
HEROMOTOCO,4330.2,286448.55,4328.22,13:03:42
HFCL,85.22,3769533.4,85.01,13:03:42
HINDALCO,699.55,2328999.62,699.86,13:03:46
HINDCOPPER,282.25,3646331.38,282.04,12:57:45
HINDPETRO,437.75,1594888.29,437.89,13:03:46
HINDUNILVR,2320.4,461218.75,2321.67,12:57:45
HINDZINC,448.0,1162725.6,448.65,13:03:46
HOMEFIRST,1364.1,79050.25,1362.79,12:51:57
HONASA,294.45,148889.0,294.62,12:51:57
HONAUT,40695.0,17791.0,40751.4,12:51:57
HSCL,505.25,2510482.2,503.09,13:03:46
HUDCO,231.88,1396222.5,232.24,13:03:47
HYUNDAI,2084.1,831460.0,2086.75,13:03:46
ICICIBANK,1429.0,3564198.89,1429.24,13:03:46
ICICIGI,2034.3,99636.4,2039.13,13:03:47
ICICIPRULI,642.25,612043.2,644.87,13:03:46
IDBI,101.57,4797834.09,101.74,13:03:46
IDEA,7.58,464195778.18,7.6,13:03:47
IDFCFIRSTB,77.56,18368391.88,77.63,13:03:51
IEX,197.0,3234019.88,196.93,13:03:51
IFCI,63.43,3209596.62,63.49,13:03:51
IGIL,376.1,330126.33,372.97,13:03:51
IGL,220.72,1418649.2,220.84,13:03:51
IIFL,462.2,746727.0,462.37,13:03:51
IKS,1645.6,181888.33,1646.06,12:52:01
INDGN,570.8,174559.67,571.53,12:52:01
INDHOTEL,749.6,1638225.0,748.93,13:03:52
INDIACEM,342.7,143634.0,343.39,13:03:52
INDIAMART,2562.5,83288.17,2560.02,13:03:52
INDIANB,646.1,825714.12,648.88,13:03:52
INDIGO,5800.5,623278.11,5815.02,13:03:52
INDUSINDBK,860.15,2367397.9,859.74,13:03:52
INDUSTOWER,425.65,3674931.0,425.29,13:03:52
INFY,1620.6,2334696.6,1620.47,13:03:52
INOXINDIA,1260.5,55437.7,1259.67,13:03:56
INOXWIND,176.5,2923626.75,176.52,13:03:56
INTELLECT,1149.5,85156.5,1150.61,13:03:56
IOB,39.96,6452943.29,39.89,13:03:56
IOC,147.95,4594007.0,147.99,13:03:56
IPCALAB,1415.7,253561.2,1414.86,12:52:04
IRB,49.44,3146549.8,49.47,12:52:04
IRCON,199.53,2395536.6,199.45,12:52:04
IRCTC,781.1,391356.5,779.08,13:03:56
IREDA,168.08,3353183.0,168.13,13:03:56
IRFC,140.05,4328296.4,140.19,13:03:56
ITC,413.8,7029696.0,413.92,13:03:56
ITI,328.6,233135.83,328.48,13:03:56
J&KBANK,112.83,1444788.5,112.96,13:03:56
JBCHEPHARM,1641.8,301171.38,1640.95,13:03:56
JBMA,646.85,199364.56,648.03,13:03:56
JINDALSAW,234.02,1377092.64,234.2,13:03:59
JINDALSTEL,968.7,967765.89,971.27,13:03:59
JIOFIN,325.55,6610463.86,325.42,13:03:59
JKCEMENT,6295.5,73492.86,6300.2,13:03:59
JKTYRE,367.2,325945.0,367.38,13:03:59
JMFINANCIL,167.5,6918466.17,165.66,12:57:57
JPPOWER,18.76,40884079.17,18.65,13:03:59
JSL,709.65,466124.0,709.94,12:52:09
JSWENERGY,509.9,1716400.25,510.45,13:03:59
JSWINFRA,308.2,673885.2,308.18,13:04:00
