symbol,stock_name,market_cap_type,category,threshold%,days_check,sector,business_domain,volatility_category,avg_daily_volume_category,,,comments
JMFINANCIL,,Small_Cap,A,500,1,,,,,,,
JPPOWER,,Small_Cap,A,500,1,,,,,,,
JSL,,Mid_Cap,B,400,1,,,,,,,
JSWENERGY,,Large_Cap,B,300,1,,,,,,,
JSWINFRA,,Mid_Cap,B,400,1,,,,,,,
JSWSTEEL,,Large_Cap,A,200,1,,,,,,,
JUBLFOOD,,Mid_Cap,B,400,1,,,,,,,
JUBLINGREA,,Small_Cap,A,500,1,,,,,,,
JUBLPHARMA,,Small_Cap,A,500,1,,,,,,,
JUSTDIAL,,Small_Cap,A,500,1,,,,,,,
JWL,,Small_Cap,A,500,1,,,,,,,
JYOTHYLAB,,Small_Cap,A,500,1,,,,,,,
JYOTICNC,,Small_Cap,A,500,1,,,,,,,
KAJARIACER,,Small_Cap,A,500,1,,,,,,,
KALYANKJIL,,Mid_Cap,B,400,1,,,,,,,
KANSAINER,,Small_Cap,A,500,1,,,,,,,
KARURVYSYA,,Small_Cap,A,500,1,,,,,,,
KAYNES,,Small_Cap,A,500,1,,,,,,,
KEC,,Small_Cap,A,500,1,,,,,,,
KEI,,Mid_Cap,B,400,1,,,,,,,
KFINTECH,,Small_Cap,A,500,1,,,,,,,
KIMS,,Small_Cap,A,500,1,,,,,,,
KIRLOSBROS,,Small_Cap,A,500,1,,,,,,,
KIRLOSENG,,Small_Cap,A,500,1,,,,,,,
KNRCON,,Small_Cap,A,500,1,,,,,,,
KOTAKBANK,,Large_Cap,A,200,1,,,,,,,
KPIL,,Small_Cap,A,500,1,,,,,,,
KPITTECH,,Mid_Cap,B,400,1,,,,,,,
KPRMILL,,Mid_Cap,B,400,1,,,,,,,
LALPATHLAB,,Small_Cap,A,500,1,,,,,,,
LATENTVIEW,,Small_Cap,A,500,1,,,,,,,
LAURUSLABS,,Small_Cap,A,500,1,,,,,,,
LEMONTREE,,Small_Cap,A,500,1,,,,,,,
LICHSGFIN,,Mid_Cap,B,400,1,,,,,,,
LICI,,Large_Cap,B,300,1,,,,,,,
LINDEINDIA,,Mid_Cap,B,400,1,,,,,,,
LLOYDSME,,Mid_Cap,B,400,1,,,,,,,
LODHA,,Large_Cap,B,300,1,,,,,,,
LT,,Large_Cap,A,200,1,,,,,,,
LTF,,Mid_Cap,B,400,1,,,,,,,
LTFOODS,,Small_Cap,A,500,1,,,,,,,
LTIM,,Large_Cap,B,300,1,,,,,,,
LTTS,,Mid_Cap,B,400,1,,,,,,,
LUPIN,,Mid_Cap,A,400,1,,,,,,,
M&M,,Large_Cap,A,200,1,,,,,,,
M&MFIN,,Mid_Cap,B,400,1,,,,,,,
MAHABANK,,Mid_Cap,B,400,1,,,,,,,
MAHSEAMLES,,Small_Cap,A,500,1,,,,,,,
MANAPPURAM,,Small_Cap,A,500,1,,,,,,,
MANKIND,,Mid_Cap,B,400,1,,,,,,,
MANYAVAR,,Small_Cap,A,500,1,,,,,,,
MAPMYINDIA,,Small_Cap,A,500,1,,,,,,,
MARICO,,Mid_Cap,A,400,1,,,,,,,
MARUTI,,Large_Cap,A,200,1,,,,,,,
MASTEK,,Small_Cap,A,500,1,,,,,,,
MAXHEALTH,,Mid_Cap,A,400,1,,,,,,,
MAZDOCK,,Mid_Cap,B,400,1,,,,,,,
MCX,,Small_Cap,A,500,1,,,,,,,
MEDANTA,,Mid_Cap,B,400,1,,,,,,,
METROPOLIS,,Small_Cap,A,500,1,,,,,,,
MFSL,,Mid_Cap,B,400,1,,,,,,,
MGL,,Small_Cap,A,500,1,,,,,,,
MINDACORP,,Small_Cap,A,500,1,,,,,,,
MMTC,,Small_Cap,A,500,1,,,,,,,
MOTHERSON,,Large_Cap,B,300,1,,,,,,,
MOTILALOFS,,Mid_Cap,B,400,1,,,,,,,
MPHASIS,,Mid_Cap,A,400,1,,,,,,,
MRF,,Mid_Cap,A,400,1,,,,,,,
MRPL,,Mid_Cap,B,400,1,,,,,,,
MSUMI,,Mid_Cap,B,400,1,,,,,,,
MUTHOOTFIN,,Mid_Cap,A,400,1,,,,,,,
NAM-INDIA,,Mid_Cap,B,400,1,,,,,,,
NATCOPHARM,,Small_Cap,A,500,1,,,,,,,
NATIONALUM,,Mid_Cap,B,400,1,,,,,,,
NAUKRI,,Large_Cap,B,300,1,,,,,,,
NAVA,,Small_Cap,A,500,1,,,,,,,
NAVINFLUOR,,Small_Cap,A,500,1,,,,,,,
NBCC,,Small_Cap,A,500,1,,,,,,,
NCC,,Small_Cap,A,500,1,,,,,,,
NESTLEIND,,Large_Cap,A,200,1,,,,,,,
NETWEB,,Small_Cap,A,500,1,,,,,,,
NETWORK18,,Small_Cap,A,500,1,,,,,,,
NEULANDLAB,,Small_Cap,A,500,1,,,,,,,
NEWGEN,,Small_Cap,A,500,1,,,,,,,
NH,,Small_Cap,A,500,1,,,,,,,
NHPC,,Mid_Cap,A,400,1,,,,,,,
NIACL,,Mid_Cap,B,400,1,,,,,,,
NIVABUPA,,Small_Cap,A,500,1,,,,,,,
NLCINDIA,,Mid_Cap,B,400,1,,,,,,,
NMDC,,Mid_Cap,A,400,1,,,,,,,
NSLNISP,,Small_Cap,A,500,1,,,,,,,
NTPC,,Large_Cap,A,200,1,,,,,,,
NTPCGREEN,,Mid_Cap,B,400,1,,,,,,,
NUVAMA,,Small_Cap,A,500,1,,,,,,,
NYKAA,,Mid_Cap,B,400,1,,,,,,,
OBEROIRLTY,,Mid_Cap,A,400,1,,,,,,,
OFSS,,Mid_Cap,A,400,1,,,,,,,
OIL,,Mid_Cap,A,400,1,,,,,,,
OLAELEC,,Mid_Cap,B,400,1,,,,,,,
OLECTRA,,Small_Cap,A,500,1,,,,,,,
ONGC,,Large_Cap,A,200,1,,,,,,,
PAGEIND,,Mid_Cap,A,400,1,,,,,,,
PATANJALI,,Mid_Cap,B,400,1,,,,,,,
PAYTM,,Mid_Cap,A,400,1,,,,,,,
PCBL,,Small_Cap,A,500,1,,,,,,,
PEL,,Small_Cap,A,500,1,,,,,,,
PERSISTENT,,Mid_Cap,A,400,1,,,,,,,
PETRONET,,Mid_Cap,A,400,1,,,,,,,
PFC,,Large_Cap,B,300,1,,,,,,,
PFIZER,,Small_Cap,A,500,1,,,,,,,
PGEL,,Small_Cap,A,500,1,,,,,,,
PHOENIXLTD,,Mid_Cap,A,400,1,,,,,,,
PIDILITIND,,Large_Cap,B,300,1,,,,,,,
PIIND,,Mid_Cap,A,400,1,,,,,,,
PNB,,Large_Cap,B,300,1,,,,,,,
PNBHOUSING,,Small_Cap,A,500,1,,,,,,,
PNCINFRA,,Small_Cap,A,500,1,,,,,,,
POLICYBZR,,Mid_Cap,A,400,1,,,,,,,
POLYCAB,,Mid_Cap,A,400,1,,,,,,,
POLYMED,,Small_Cap,A,500,1,,,,,,,
POONAWALLA,,Small_Cap,A,500,1,,,,,,,
POWERGRID,,Large_Cap,A,200,1,,,,,,,
POWERINDIA,,Mid_Cap,B,400,1,,,,,,,
PPLPHARMA,,Small_Cap,A,500,1,,,,,,,
PRAJIND,,Small_Cap,A,500,1,,,,,,,
PREMIERENE,,Mid_Cap,B,400,1,,,,,,,
PRESTIGE,,Mid_Cap,A,400,1,,,,,,,
PTCIL,,Small_Cap,A,500,1,,,,,,,
PVRINOX,,Small_Cap,A,500,1,,,,,,,
RADICO,,Small_Cap,A,500,1,,,,,,,
RAILTEL,,Small_Cap,A,500,1,,,,,,,
RAINBOW,,Small_Cap,A,500,1,,,,,,,
RAMCOCEM,,Small_Cap,A,500,1,,,,,,,
RAYMOND,,Small_Cap,A,500,1,,,,,,,
RAYMONDLSL,,Small_Cap,A,500,1,,,,,,,
RBLBANK,,Small_Cap,A,500,1,,,,,,,
RCF,,Small_Cap,A,500,1,,,,,,,
RECLTD,,Large_Cap,B,300,1,,,,,,,
REDINGTON,,Small_Cap,A,500,1,,,,,,,
RELIANCE,,Large_Cap,A,200,1,,,,,,,
RENUKA,,Small_Cap,A,500,1,,,,,,,
RHIM,,Small_Cap,A,500,1,,,,,,,
RITES,,Small_Cap,A,500,1,,,,,,,
RKFORGE,,Small_Cap,A,500,1,,,,,,,
ROUTE,,Small_Cap,A,500,1,,,,,,,
RPOWER,,Small_Cap,A,500,1,,,,,,,
RRKABEL,,Small_Cap,A,500,1,,,,,,,
RTNINDIA,,Small_Cap,A,500,1,,,,,,,
RVNL,,Mid_Cap,B,400,1,,,,,,,
SAGILITY,,Small_Cap,A,500,1,,,,,,,
SAIL,,Mid_Cap,A,400,1,,,,,,,
SAILIFE,,Small_Cap,A,500,1,,,,,,,
SAMMAANCAP,,Small_Cap,A,500,1,,,,,,,
SAPPHIRE,,Small_Cap,A,500,1,,,,,,,
SARDAEN,,Small_Cap,A,500,1,,,,,,,
SAREGAMA,,Small_Cap,A,500,1,,,,,,,
SBFC,,Small_Cap,A,500,1,,,,,,,
SBICARD,,Mid_Cap,A,400,1,,,,,,,
SBILIFE,,Large_Cap,A,200,1,,,,,,,
SBIN,,Large_Cap,A,200,1,,,,,,,
SCHAEFFLER,,Mid_Cap,B,400,1,,,,,,,
SCHNEIDER,,Small_Cap,A,500,1,,,,,,,
SCI,,Small_Cap,A,500,1,,,,,,,
SHREECEM,,Large_Cap,B,300,1,,,,,,,
SHRIRAMFIN,,Large_Cap,A,200,1,,,,,,,
